Manufacturer,Year,Potentially Affected,cluster,severity_level,severity_label
"COBRA INDUSTRIES, INC.",1976,39,0,2,Medium
"Mitsubishi Fuso Truck of America, Inc.",2006,218,1,1,Low
"SAAB CARS USA, INC.",2006,5078,2,3,High
"WESTERN WORLD, INC.",2006,243,1,1,Low
"International Motors, LLC",2006,211,1,1,Low
SIDUMP'R TRAILER COMPANY,2006,41,1,1,Low
"Nissan North America, Inc.",2006,9506,2,3,High
"Volkswagen Group of America, Inc.",2006,28594,2,3,High
"Nissan North America, Inc.",2006,67014,2,3,High
"BMW of North America, LLC",2006,700,1,1,Low
"BMW of North America, LLC",2006,25,1,1,Low
"C&C TRAILERS, INC.",2006,1,1,1,Low
"Yamaha Motor Corporation, USA",2006,20000,2,3,High
"General Motors, LLC",2006,17676,2,3,High
WHITE RIVER MARINE GROUP LLC,2006,1219,1,1,Low
PACCAR Incorporated,2006,572,1,1,Low
"Mack Trucks, Inc.",2006,40204,2,3,High
"STIGERS TRAILER MANUFACTURING, INC.",2006,21,1,1,Low
"Nissan North America, Inc.",2006,23934,2,3,High
"Nissan North America, Inc.",2006,1863,2,3,High
"Big Dog Motorcycles, LLC",2006,2494,2,3,High
Oshkosh Corporation,2006,380,1,1,Low
"International Motors, LLC",2006,87,1,1,Low
Volvo Trucks North America,2006,3842,2,3,High
FREIGHTLINER LLC,2006,9,1,1,Low
"Chrysler (FCA US, LLC)",2006,309,1,1,Low
"New Flyer of America, Inc.",2006,50,1,1,Low
"GENUINE SCOOTER CO, LLC",2006,498,1,1,Low
Ford Motor Company,2006,6164,2,3,High
Ford Motor Company,2006,139537,2,3,High
"FLEETWOOD ENTERPRISES, INC.",2006,7858,2,3,High
"Volvo Car USA, LLC",2006,19700,2,3,High
"International Motors, LLC",2006,1596,2,3,High
Chrysler Group Global Electric Motorcars,2006,170,1,1,Low
"Heartland Recreational Vehicles, LLC",2006,51,1,1,Low
"Yamaha Motor Corporation, USA",2006,39757,2,3,High
Ducati North America,2006,402,1,1,Low
"Champion Bus, Inc.",2006,22,1,1,Low
MID BUS CORPORATION,2006,200,1,1,Low
"Mack Trucks, Inc.",2006,1102,2,3,High
DIAMO USA,2006,674,1,1,Low
PACCAR Incorporated,1976,200,0,2,Medium
Ford Motor Company,1976,53137,0,2,Medium
"UNIVERSAL SPECIALTY VEHICLES, INC.",2006,16,1,1,Low
R-VISION,2006,135,1,1,Low
R-VISION,2006,25,1,1,Low
"Eldorado National- California, Inc.",2006,1,1,1,Low
"Champion Bus, Inc.",2006,18,1,1,Low
Hyundai Motor America,2006,790,1,1,Low
"Jaguar Cars, Ltd.",2006,6199,2,3,High
"NABI Bus, LLC",2006,404,1,1,Low
WHITE RIVER MARINE GROUP LLC,2006,268,1,1,Low
"Hino Motors Sales U.S.A., Inc.",2006,746,1,1,Low
MONACO COACH CORPORATION,2006,2941,2,3,High
"Coachmen RV Company, LLC",2006,61,1,1,Low
"Chrysler (FCA US, LLC)",2006,144750,2,3,High
"Chrysler (FCA US, LLC)",2006,159741,2,3,High
FOUR WINDS INTERNATIONAL,2006,692,1,1,Low
"Coachmen RV Company, LLC",2006,1332,2,3,High
Blue Bird Body Company,2006,56,1,1,Low
"BMW of North America, LLC",1976,520,0,2,Medium
WHITE RIVER MARINE GROUP LLC,2006,370,1,1,Low
WHITE RIVER MARINE GROUP LLC,2006,1774,2,3,High
Keystone RV Company,2006,286,1,1,Low
Damon Corporation,2006,1592,1,1,Low
"Nissan North America, Inc.",2006,13184,2,3,High
Goshen Coach,2006,8,1,1,Low
WHITE RIVER MARINE GROUP LLC,2006,429,1,1,Low
"Chrysler (FCA US, LLC)",2006,4770,2,3,High
"Kia America, Inc.",2006,4753,2,3,High
"ALFA LEISURE,INC.",2006,311,1,1,Low
"FTCA, Inc.",2006,429,1,1,Low
"Mastercraft Boat Company, Inc.",2006,174,1,1,Low
Wilson Trailer Company,2006,284,1,1,Low
"NATIONAL RV, INC.",2006,1324,1,1,Low
"Chrysler (FCA US, LLC)",2006,35103,2,3,High
FREIGHTLINER LLC,1976,167,0,2,Medium
"Mitsubishi Motors North America, Inc.",2006,1516,2,3,High
Hyundai Motor America,2006,139,1,1,Low
FREIGHTLINER LLC,2006,3300,2,3,High
Glaval Bus,2006,2,1,1,Low
"Mack Trucks, Inc.",2006,3,1,1,Low
"Volkswagen Group of America, Inc.",2006,7674,2,3,High
"Airstream, Inc.",2006,2,1,1,Low
Honda (American Honda Motor Co.),2006,774,1,1,Low
"Rolls-Royce Motor Cars, Ltd.",2006,32,1,1,Low
"Nissan North America, Inc.",2006,105200,2,3,High
"ALFA LEISURE,INC.",2006,497,1,1,Low
"Triumph Motorcycles America, Ltd.",2006,674,1,1,Low
NUWA INDUSTRIES INC.,2006,6,1,1,Low
Keystone RV Company,2006,150,1,1,Low
"STOLL TRAILERS, INC.",2006,10,1,1,Low
"Bentley Motors, Ltd.",2006,81,1,1,Low
"General Motors, LLC",2006,1369,2,3,High
"Forest River, Inc.",2006,697,1,1,Low
"Big Dog Motorcycles, LLC",2006,2101,2,3,High
"General Motors, LLC",2006,3227,2,3,High
"NABI Bus, LLC",2006,48,1,1,Low
"Big Dog Motorcycles, LLC",2006,2711,2,3,High
"4-Star Trailers, Inc.",2006,110,1,1,Low
"Chrysler (FCA US, LLC)",2006,15021,2,3,High
"New Flyer of America, Inc.",2006,324,1,1,Low
"Airstream, Inc.",2006,4,1,1,Low
"Roush Performance Products, Inc.",2006,745,1,1,Low
"Brown Industries, LLC",1976,600,0,2,Medium
"General Motors, LLC",1976,811180,0,2,Medium
"POLARIS INDUSTRIES, INC.",2006,2523,2,3,High
"POLARIS INDUSTRIES, INC.",2006,2402,2,3,High
Glaval Bus,2006,356,1,1,Low
"Kalmar Solutions, LLC",2006,2044,2,3,High
"Kia America, Inc.",2006,32257,2,3,High
"Chrysler (FCA US, LLC)",2006,826687,2,3,High
"General Motors, LLC",2006,38439,2,3,High
"Mack Trucks, Inc.",2006,342,1,1,Low
"Jayco, Inc.",2006,162,1,1,Low
"SAAB CARS USA, INC.",1976,7139,0,2,Medium
Ford Motor Company,2006,1200000,2,3,High
COUNTRY COACH INC,2006,6,1,1,Low
"Winnebago Industries, Inc.",2006,919,1,1,Low
"New Flyer of America, Inc.",2006,324,1,1,Low
LABRIE EQUIPMENT LTD.,2006,44,1,1,Low
COUNTRY COACH INC,2006,25,1,1,Low
"POLARIS INDUSTRIES, INC.",2006,1784,2,3,High
"International Motors, LLC",2006,103,1,1,Low
"KWANG YANG MOTOR CO., LTD",2006,918,1,1,Low
Honda (American Honda Motor Co.),2006,1190000,2,3,High
"Mack Trucks, Inc.",2006,7447,2,3,High
"WESTERN RECREATIONAL VEHICLES, INC.",2006,4,1,1,Low
MO TRAILERS,2006,103,1,1,Low
Newmar Corporation,2006,9,1,1,Low
"BMW of North America, LLC",2006,11640,2,3,High
Blue Bird Body Company,2006,150,1,1,Low
Newmar Corporation,2006,99,1,1,Low
"Haulmark Industries, Inc.",2006,2,1,1,Low
"ALFA LEISURE,INC.",2006,5,1,1,Low
Utilimaster Corporation,2006,11,1,1,Low
"Featherlite Trailer Manufacturing, LLC",2006,5,1,1,Low
Newmar Corporation,2006,17,1,1,Low
"General Motors, LLC",2006,7689,2,3,High
Triple E Recreational Vehicles,2006,4,1,1,Low
"Kia America, Inc.",2006,13060,2,3,High
Toyota Motor Engineering & Manufacturing,2006,34771,2,3,High
"Coachmen RV Company, LLC",2006,1485,2,3,High
"POLARIS INDUSTRIES, INC.",2006,3902,2,3,High
Polaris Industries Inc.,2006,2913,2,3,High
MIDLAND ROSS CORP.,1976,631,0,2,Medium
Blue Bird Body Company,2006,7980,2,3,High
Keystone RV Company,2006,72,1,1,Low
"Cottrell, Inc.",2006,63,1,1,Low
PACCAR Incorporated,2006,40,1,1,Low
GIRARDIN MINIBUS INC.,2006,157,1,1,Low
Toyota Motor Engineering & Manufacturing,2006,367594,2,3,High
"General Motors, LLC",2006,1184,2,3,High
GIRARDIN MINIBUS INC.,2006,28,1,1,Low
COUNTRY COACH INC,2006,831,1,1,Low
Blue Bird Body Company,1992,275,0,2,Medium
Wilson Trailer Company,2006,54,1,1,Low
R-VISION,2006,10,1,1,Low
FOUR WINDS INTERNATIONAL,2006,70,1,1,Low
"Airstream, Inc.",2006,22,1,1,Low
Prevost Car (US) Inc.,2006,9,1,1,Low
"Nissan North America, Inc.",2006,105200,2,3,High
BUELL-out of business,2006,1021,1,1,Low
"Timpte, Inc.",2006,68,1,1,Low
"Chrysler (FCA US, LLC)",2006,230,1,1,Low
"Nissan North America, Inc.",2006,294166,2,3,High
SOMERSET MARINE,1976,112,0,2,Medium
Truck Equipment Service Company,2006,5,1,1,Low
Motor Coach Industries,2006,1768,2,3,High
"Winnebago Industries, Inc.",2006,1021,1,1,Low
FREIGHTLINER LLC,2006,54,1,1,Low
DAIMLERCHRYSLER MANUFACTURING INTL,2006,235,1,1,Low
Damon Corporation,2006,116,1,1,Low
Daimler Coaches North America,2006,335,1,1,Low
Keystone RV Company,2006,27,1,1,Low
"International Motors, LLC",2006,1401,2,3,High
"Mack Trucks, Inc.",2006,2587,2,3,High
Hyundai Motor America,2006,43301,2,3,High
Toyota Motor Engineering & Manufacturing,2006,9434,2,3,High
MONACO COACH CORPORATION,2006,2582,2,3,High
"International Motors, LLC",2006,1200,2,3,High
MONACO COACH CORPORATION,2006,404,1,1,Low
Chrysler Group Global Electric Motorcars,2006,27350,2,3,High
Oshkosh Corporation,2006,139,1,1,Low
"Nissan North America, Inc.",2006,85000,2,3,High
"Coachmen RV Company, LLC",2006,32,1,1,Low
WORKHORSE CUSTOM CHASSIS,2006,30335,2,3,High
Newmar Corporation,2006,30,1,1,Low
Newmar Corporation,2006,2,1,1,Low
"FLEETWOOD ENTERPRISES, INC.",2006,947,1,1,Low
R-VISION,2006,1182,1,1,Low
"General Motors, LLC",1989,10535,0,2,Medium
"General Motors, LLC",2006,2023,2,3,High
"Jayco, Inc.",2006,49,1,1,Low
ORION BUS INDUSTRIES LTD.,2006,405,1,1,Low
"New Flyer of America, Inc.",2006,798,1,1,Low
Volvo Trucks North America,2006,873,1,1,Low
Prevost Car (US) Inc.,2006,423,1,1,Low
Daimler Coaches North America,2006,84,1,1,Low
"Thor California, Inc.",2006,64000,2,3,High
"United Trailers, LLC",2006,2,1,1,Low
FREIGHTLINER LLC,2006,5243,2,3,High
"GENMAR HOLDINGS, INC.",2006,3608,2,3,High
"Reinke Manufacturing Company, Inc.",2006,32,1,1,Low
AMERICAN LAFRANCE LLC,2006,22,1,1,Low
"Chrysler (FCA US, LLC)",2006,189479,2,3,High
Shyft Group,2006,2,1,1,Low
Harley-Davidson Motor Company,2006,9506,2,3,High
Blue Bird Body Company,2006,272,1,1,Low
"Mitsubishi Fuso Truck of America, Inc.",2006,69,1,1,Low
"Chrysler (FCA US, LLC)",2006,111687,2,3,High
Keystone RV Company,2006,9486,2,3,High
"SAAB CARS USA, INC.",2006,11886,2,3,High
"Mitsubishi Fuso Truck of America, Inc.",2006,1045,2,3,High
FREIGHTLINER LLC,2006,61000,2,3,High
Glaval Bus,2006,9,1,1,Low
"Volkswagen Group of America, Inc.",2006,70512,2,3,High
"International Motors, LLC",2006,9823,2,3,High
Collins Bus Corporation,2006,23,1,1,Low
"General Motors, LLC",2006,30793,2,3,High
MID BUS CORPORATION,2006,2,1,1,Low
Toyota Motor Engineering & Manufacturing,2006,170856,2,3,High
"Reinke Manufacturing Company, Inc.",2006,6,1,1,Low
"BMW of North America, LLC",2006,40,1,1,Low
"Kawasaki Motors Corp., U.S.A.",2006,2321,2,3,High
FREIGHTLINER LLC,2006,4,1,1,Low
MONACO COACH CORPORATION,2006,465,1,1,Low
Ford Motor Company,1989,5,0,2,Medium
"Volkswagen Group of America, Inc.",2006,646246,2,3,High
"Gulf Stream Coach, Inc.",2006,39,1,1,Low
Pierce Manufacturing,2006,66,1,1,Low
"FLEETWOOD ENTERPRISES, INC.",2006,184,1,1,Low
Eldorado National-Kansas,2006,8,1,1,Low
Vermeer Manufacturing Company,2006,43,1,1,Low
"HME, Inc.",2006,75,1,1,Low
"Accubuilt, Inc.",2006,24,1,1,Low
Hyundai Motor America,2006,463,1,1,Low
E-One Incorporated,2006,79,1,1,Low
"IRBIT MOTORWORKS, INC",2006,89,1,1,Low
Shyft Group,2006,88,1,1,Low
GORE TRAILER MANUFACTURER,2006,1,1,1,Low
"Autocar, LLC",2006,250,1,1,Low
TETON HOMES,2006,16,1,1,Low
"Hino Motors Sales U.S.A., Inc.",2006,5072,2,3,High
BEDARD TANKERS INC,2006,21,1,1,Low
Doubletree RV,2006,28,1,1,Low
"Winnebago Industries, Inc.",2006,68,1,1,Low
"BMW of North America, LLC",2006,13200,2,3,High
"Erwin Hymer Group North America, Inc.",2006,736,1,1,Low
"Hino Motors Sales U.S.A., Inc.",2006,3930,2,3,High
UD Trucks Corporation,2006,1814,2,3,High
WHITE MOTOR CORPORATION,1976,4,0,2,Medium
PETERBILT MOTOR COMPANY,1976,10,0,2,Medium
"Airstream, Inc.",2006,67,1,1,Low
"Volvo Car USA, LLC",2006,126743,2,3,High
"Peterson Industries, Inc.",2006,6,1,1,Low
"TRAVEL SUPREME, INC.",2006,5,1,1,Low
CEDAR CREEK,2006,28,1,1,Low
"Chrysler (FCA US, LLC)",2006,6876,2,3,High
"Chrysler (FCA US, LLC)",2006,44367,2,3,High
FREIGHTLINER LLC,2006,45,1,1,Low
"GRUMMAN ALLIED IND., INC.",1976,227,0,2,Medium
"BMW of North America, LLC",1976,444,0,2,Medium
"Saleen, Inc.",2006,851,1,1,Low
WORKHORSE CUSTOM CHASSIS,2006,3881,2,3,High
FREIGHTLINER LLC,2006,87,1,1,Low
Demers Ambulances,2006,14,1,1,Low
"Tiffin Motorhomes, Inc.",2006,1594,2,3,High
"Ferrara Fire Apparatus, Inc.",2006,12,1,1,Low
"Volvo Car USA, LLC",2006,122431,2,3,High
"General Motors, LLC",2006,404733,2,3,High
FREIGHTLINER LLC,2006,11666,2,3,High
"International Motors, LLC",2006,357,1,1,Low
"Champion Bus, Inc.",2006,7,1,1,Low
Van Hool N.V.,2006,870,1,1,Low
GOSHEN COACH,2006,13,1,1,Low
"Kawasaki Motors Corp., U.S.A.",2006,6746,2,3,High
Damon Corporation,2006,1705,1,1,Low
GIRARDIN MINIBUS INC.,2006,13,1,1,Low
"BMW of North America, LLC",2006,9260,2,3,High
WHITE MOTOR CORPORATION,1976,749,0,2,Medium
SHELLER-GLOBE CORPORATION,1976,150,0,2,Medium
Land Rover,2006,45900,2,3,High
Land Rover,2006,10791,2,3,High
"Jayco, Inc.",2006,85,1,1,Low
Skyline Corporation,2006,44,1,1,Low
"Big Dog Motorcycles, LLC",2006,364,1,1,Low
"Coachmen RV Company, LLC",2006,29,1,1,Low
Harley-Davidson Motor Company,1976,57140,0,2,Medium
Toyota Motor Engineering & Manufacturing,2006,28947,2,3,High
"FLEETWOOD ENTERPRISES, INC.",2006,7205,2,3,High
Mazda Motor Corp.,2006,23100,2,3,High
"Mack Trucks, Inc.",2006,289,1,1,Low
Blue Bird Body Company,2006,129,1,1,Low
"Gulf Stream Coach, Inc.",2006,995,1,1,Low
"Jayco, Inc.",2006,135,1,1,Low
COUNTRY COACH INC,2006,21,1,1,Low
Ford Motor Company,2006,8585,2,3,High
"Jayco, Inc.",2006,3,1,1,Low
Ford Motor Company,2006,19,1,1,Low
MUSTANG TRAILER MANUFACTURING,2006,21,1,1,Low
AMERICAN LAFRANCE LLC,2006,32,1,1,Low
Ford Motor Company,2006,19140,2,3,High
Ford Motor Company,2006,134365,2,3,High
Mazda Motor Corp.,2006,2600,2,3,High
"General Motors, LLC",2006,12862,2,3,High
Volvo Trucks North America,2006,2137,2,3,High
"Autocar, LLC",2006,19,1,1,Low
"BMW of North America, LLC",2006,453,1,1,Low
Toyota Motor Engineering & Manufacturing,2006,133,1,1,Low
COUNTRY COACH INC,2006,103,1,1,Low
"Mercedes-Benz USA, LLC",2006,7000,2,3,High
"Mercedes-Benz USA, LLC",2006,2500,2,3,High
"Entrans International, LLC",2006,9,1,1,Low
Shyft Group,2006,54,1,1,Low
"Jayco, Inc.",2006,1107,2,3,High
"Jayco, Inc.",2006,183,1,1,Low
"Jayco, Inc.",2006,199,1,1,Low
Motor Coach Industries,1992,277,0,2,Medium
"Jayco, Inc.",2006,112,1,1,Low
"Nissan North America, Inc.",2006,42000,2,3,High
FOUR WINDS INTERNATIONAL,2006,461,1,1,Low
"Jayco, Inc.",2006,21,1,1,Low
Keystone RV Company,2006,107,1,1,Low
Keystone RV Company,2006,18,1,1,Low
"Jayco, Inc.",2006,1107,2,3,High
FREIGHTLINER LLC,2006,250,1,1,Low
"K.Z., Inc.",2006,2483,2,3,High
Utilimaster Corporation,1996,701,0,2,Medium
"Jayco, Inc.",2006,44,1,1,Low
"International Motors, LLC",2006,133,1,1,Low
"Battle Motors, Inc.",2006,17,1,1,Low
"Federal Coach, LLC",2006,12,1,1,Low
FOUR WINDS INTERNATIONAL,2006,65,1,1,Low
"Mitsubishi Motors North America, Inc.",2006,4359,2,3,High
Ford Motor Company,2006,12728,2,3,High
"Erwin Hymer Group North America, Inc.",2006,51,1,1,Low
Glaval Bus,2006,177,1,1,Low
"Chrysler (FCA US, LLC)",2006,27,1,1,Low
"Chrysler (FCA US, LLC)",2006,279,1,1,Low
"Charles Machine Works, Inc.",2006,699,1,1,Low
"General Motors, LLC",2006,805368,2,3,High
"Chrysler (FCA US, LLC)",2006,268800,2,3,High
"Triumph Motorcycles America, Ltd.",2006,33,1,1,Low
Starcraft RV,2006,79,1,1,Low
Toyota Motor Engineering & Manufacturing,2006,12020,2,3,High
"FLEETWOOD ENTERPRISES, INC.",2006,21,1,1,Low
"General Motors, LLC",2006,291,1,1,Low
Blue Bird Body Company,1976,233,0,2,Medium
"POLARIS INDUSTRIES, INC.",2006,574,1,1,Low
"M H Eby, Inc.",2006,129,1,1,Low
Lamborghini (Automobili Lamborghini),2006,200,1,1,Low
Blue Bird Body Company,2006,13,1,1,Low
"FLEETWOOD ENTERPRISES, INC.",2006,1236,2,3,High
"Nissan North America, Inc.",2006,14268,2,3,High
MONACO COACH CORPORATION,2006,124,1,1,Low
"COACHMEN INDUSTRIES, INC.",1976,762,0,2,Medium
Braun Corporation,2006,657,1,1,Low
"Chrysler (FCA US, LLC)",2006,335,1,1,Low
"Nissan North America, Inc.",2006,759,1,1,Low
"Nissan North America, Inc.",2006,203000,2,3,High
"Bentley Motors, Ltd.",2006,27,1,1,Low
redundant HEIL TRAILER entry,2006,87,1,1,Low
"Chrysler (FCA US, LLC)",2006,15536,2,3,High
"Chrysler (FCA US, LLC)",2006,24058,2,3,High
"Chrysler (FCA US, LLC)",2006,39274,2,3,High
"Autocar, LLC",2006,30,1,1,Low
"Volkswagen Group of America, Inc.",2006,906,1,1,Low
FREIGHTLINER LLC,2006,5771,2,3,High
"FLEETWOOD ENTERPRISES, INC.",2006,42,1,1,Low
Shyft Group,2006,11,1,1,Low
"New Flyer of America, Inc.",2006,682,1,1,Low
Shyft Group,2006,833,1,1,Low
"PACE AMERICAN, INC.",2006,4,1,1,Low
Ford Motor Company,2006,211432,2,3,High
Honda (American Honda Motor Co.),1996,164139,2,3,High
Coach and Equipment Mfg. Corp.,2006,247,1,1,Low
GIRARDIN MINIBUS INC.,2006,13,1,1,Low
"Mercedes-Benz USA, LLC",2006,36911,2,3,High
Ford Motor Company,1996,5000,2,3,High
Wilson Trailer Company,2006,2177,2,3,High
"Suzuki Motor USA, LLC",2006,37911,2,3,High
"Jayco, Inc.",2006,254,1,1,Low
Toyota Motor Engineering & Manufacturing,2006,3851,2,3,High
Volvo Trucks North America,2006,33102,2,3,High
"Jaguar Cars, Ltd.",2006,2675,2,3,High
"Big Dog Motorcycles, LLC",2006,9726,2,3,High
"General Motors, LLC",2006,17462,2,3,High
"General Motors, LLC",1976,505,0,2,Medium
FMC CORPORATION,1976,52,0,2,Medium
"Jayco, Inc.",2006,47,1,1,Low
"Volkswagen Group of America, Inc.",2006,74000,2,3,High
"FLEETWOOD ENTERPRISES, INC.",2006,14,1,1,Low
"Suzuki Motor USA, LLC",2006,4841,2,3,High
FREIGHTLINER LLC,2006,360,1,1,Low
"New Flyer of America, Inc.",2006,103,1,1,Low
"TRAVIS BODY & TRAILER, INC.",2006,639,1,1,Low
PACCAR Incorporated,2006,79,1,1,Low
"General Motors, LLC",2006,1327,2,3,High
FREIGHTLINER LLC,2006,1975,2,3,High
"Porsche Cars North America, Inc.",2006,5094,2,3,High
"Nissan North America, Inc.",2006,205000,2,3,High
"International Motors, LLC",2006,1371,2,3,High
"Kawasaki Motors Corp., U.S.A.",2006,103,1,1,Low
"Chrysler (FCA US, LLC)",2006,216299,2,3,High
"NATIONAL RV, INC.",2006,588,1,1,Low
"THOMAS BUILT BUSES, INC.",1976,13000,0,2,Medium
"Maserati North America, Inc.",2005,169,1,1,Low
Lotus Cars Limited,2005,1740,2,3,High
"Winnebago Industries, Inc.",2005,193,1,1,Low
Honda (American Honda Motor Co.),2005,12756,2,3,High
PACCAR Incorporated,2005,30995,2,3,High
"Suzuki Motor USA, LLC",2005,23839,2,3,High
"International Motors, LLC",2005,6848,2,3,High
"Thor California, Inc.",2005,387,1,1,Low
"International Motors, LLC",2005,2,1,1,Low
"Mercedes-Benz USA, LLC",2005,61000,2,3,High
IC CORPORATION,2005,1918,2,3,High
Honda (American Honda Motor Co.),2005,6786,2,3,High
Triple E Recreational Vehicles,2005,14,1,1,Low
"General Motors, LLC",2005,425593,2,3,High
Toyota Motor Engineering & Manufacturing,2005,3567,2,3,High
"Mack Trucks, Inc.",1992,5500,0,2,Medium
MONACO COACH CORPORATION,2005,30,1,1,Low
"Jayco, Inc.",2005,1878,2,3,High
"Nissan North America, Inc.",2005,192659,2,3,High
QUALITY COACHES INC.,2005,2,1,1,Low
Wabash National Corporation,2005,6,1,1,Low
"Kia America, Inc.",2005,90865,2,3,High
"Chrysler (FCA US, LLC)",2005,16317,2,3,High
"General Motors, LLC",2005,32068,2,3,High
"Mack Trucks, Inc.",2005,4482,2,3,High
FREIGHTLINER LLC,2005,1819,2,3,High
FREIGHTLINER LLC,2005,500,1,1,Low
"COAST MACHINERY, INC.",2005,167,1,1,Low
"Suzuki Motor USA, LLC",2005,95,1,1,Low
"Volkswagen Group of America, Inc.",2005,15,1,1,Low
Hyundai Translead,2005,188,1,1,Low
Wabash National Corporation,2005,105,1,1,Low
WELD-IT COMPANY,2005,89,1,1,Low
PACCAR Incorporated,2005,241,1,1,Low
Ford Motor Company,1992,48000,2,3,High
"Forest River, Inc.",2005,199,1,1,Low
Honda (American Honda Motor Co.),2005,1606,2,3,High
Harley-Davidson Motor Company,2005,10498,2,3,High
Toyota Motor Engineering & Manufacturing,2005,4503,2,3,High
FREIGHTLINER LLC,2005,198,1,1,Low
"Cottrell, Inc.",2005,38,1,1,Low
Blue Bird Body Company,2005,9,1,1,Low
"Aprilia USA, Inc.",2005,877,1,1,Low
Ford Motor Company,1992,43000,2,3,High
Mazda North American Operations,2005,3982,2,3,High
HYUNDAI CARIBBEAN-PUERTO RICO,2005,134,1,1,Low
"REV Ambulance Group Orlando, Inc.",2005,110,1,1,Low
"Volvo Car USA, LLC",2005,10259,2,3,High
"Volkswagen Group of America, Inc.",2005,1530,2,3,High
"International Motors, LLC",2005,989,1,1,Low
INTERNATIONAL TRUCK & ENGINE CORPORATION,1976,1200,0,2,Medium
INTERNATIONAL TRUCK & ENGINE CORPORATION,1976,225,0,2,Medium
IC CORPORATION,2005,147,1,1,Low
Ford Motor Company,2005,123206,2,3,High
Ford Motor Company,2005,98836,2,3,High
Ford Motor Company,2005,289,1,1,Low
Ford Motor Company,2005,199942,2,3,High
Ford Motor Company,2005,2488,2,3,High
"KTM North America, Inc.",2005,443,1,1,Low
"Winnebago Industries, Inc.",2005,342,1,1,Low
"Erwin Hymer Group North America, Inc.",2005,381,1,1,Low
"FLEETWOOD ENTERPRISES, INC.",2005,48,1,1,Low
"Nissan North America, Inc.",2005,102551,2,3,High
AM GENERAL LLC,1976,1978,0,2,Medium
Aston Martin The Americas,2005,67,1,1,Low
Prevost Car (US) Inc.,2005,123,1,1,Low
SANTA FE VANS,2005,3,1,1,Low
"Suzuki Motor USA, LLC",2005,592,1,1,Low
"Stoughton Trailers, LLC",2005,72,1,1,Low
Honda (American Honda Motor Co.),2005,25298,2,3,High
Honda (American Honda Motor Co.),2005,316,1,1,Low
Volvo Trucks North America,2005,1376,2,3,High
"Jayco, Inc.",2005,65,1,1,Low
Keystone RV Company,2005,764,1,1,Low
"Winnebago Industries, Inc.",2005,152,1,1,Low
"Lufkin Industries, Inc.",2005,988,1,1,Low
"Suzuki Motor USA, LLC",2005,769,1,1,Low
Land Rover,2005,548,1,1,Low
Land Rover,2005,1949,2,3,High
"Jaguar Cars, Ltd.",2005,493,1,1,Low
"BMW of North America, LLC",2005,240,1,1,Low
"Mercedes-Benz USA, LLC",2005,69278,2,3,High
"Aprilia USA, Inc.",2005,1310,1,1,Low
"General Motors, LLC",2005,98007,2,3,High
Great Dane Trailers,2005,650,1,1,Low
KELSEY-HAYES COMPANY,1976,13,0,2,Medium
John Evans Manufacturing Co.,2005,43,1,1,Low
Skyline Corporation,2005,90,1,1,Low
"Hino Motors Sales U.S.A., Inc.",2005,577,1,1,Low
MID BUS CORPORATION,2005,636,1,1,Low
"General Motors, LLC",2005,2351,2,3,High
U.S. BUS CORPORATION,2005,30,1,1,Low
Toyota Motor Engineering & Manufacturing,2005,71392,2,3,High
HYUNDAI CARIBBEAN-PUERTO RICO,2005,2105,2,3,High
"Nissan North America, Inc.",2005,33042,2,3,High
"Forest River, Inc.",2005,609,1,1,Low
Utilimaster Corporation,2005,993,1,1,Low
"Jayco, Inc.",2005,237,1,1,Low
"Explorer Van Company, Inc.",2005,118,1,1,Low
LES ENTREPRISES M.CORBEIL,2005,295,1,1,Low
LES ENTREPRISES M.CORBEIL,2005,245,1,1,Low
"Nissan North America, Inc.",2005,109437,2,3,High
"Winnebago Industries, Inc.",2005,3613,2,3,High
Ford Motor Company,1976,18000,0,2,Medium
"BMW of North America, LLC",2005,960,1,1,Low
"Gillig, LLC",2005,5,1,1,Low
"Gillig, LLC",2005,34,1,1,Low
"NABI Bus, LLC",2005,222,1,1,Low
Isuzu Motors Limited,2005,15515,2,3,High
"Chrysler (FCA US, LLC)",2005,256409,2,3,High
"Chrysler (FCA US, LLC)",2005,136,1,1,Low
"Chrysler (FCA US, LLC)",2005,250433,2,3,High
FOUR WINDS INTERNATIONAL,2005,221,1,1,Low
"Suzuki Motor USA, LLC",2005,801,1,1,Low
FREIGHTLINER LLC,2005,600,1,1,Low
"General Motors, LLC",2005,123592,2,3,High
Daimler Buses North America,2005,123,1,1,Low
"Nissan North America, Inc.",2005,12500,2,3,High
"Kia America, Inc.",2005,74276,2,3,High
FREIGHTLINER LLC,2005,1100,2,3,High
FREIGHTLINER LLC,2005,3850,2,3,High
FREIGHTLINER LLC,2005,8310,2,3,High
WEEKEND WARRIOR TRAILERS INC.,2005,13447,2,3,High
PACCAR Incorporated,2005,1,1,1,Low
"Gulf Stream Coach, Inc.",2005,306,1,1,Low
"Haulmark Industries, Inc.",2005,147,1,1,Low
"International Motors, LLC",2005,125,1,1,Low
"International Motors, LLC",2005,4,1,1,Low
Hyundai Motor America,2005,12000,2,3,High
"Mitsubishi Fuso Truck of America, Inc.",2005,1848,2,3,High
"Mack Trucks, Inc.",2005,2,1,1,Low
Volvo Trucks North America,2005,7,1,1,Low
J&L CARGO EXPRESS,2005,21,1,1,Low
Collins Bus Corporation,2005,150,1,1,Low
