Manufacturer,Year,Potentially Affected,cluster,severity_level,severity_label
"Daimler Vans USA, LLC",2020,463,1,1,Low
"Bombardier Recreational Products, Inc.",2020,6958,2,3,High
Toyota Motor Engineering & Manufacturing,2020,3121,2,3,High
"Daimler Trucks North America, LLC",2020,53,1,1,Low
Hyundai Motor America,2020,6707,2,3,High
Shyft Group,2020,80,1,1,Low
NORTON/TRIUMPH CORP.,1974,11103,0,2,Medium
The Toro Company,2020,605,1,1,Low
"Mercedes-Benz USA, LLC",2020,12799,2,3,High
"Mercedes-Benz USA, LLC",2020,2,1,1,Low
"Mercedes-Benz USA, LLC",2020,7,1,1,Low
"Chrysler (FCA US, LLC)",2020,19075,2,3,High
"Jaguar Land Rover North America, LLC",2020,21834,2,3,High
Harley-Davidson Motor Company,2020,1012,1,1,Low
Lamborghini (Automobili Lamborghini),2020,3,1,1,Low
INTERNATIONAL TRUCK & ENGINE CORPORATION,1974,5091,0,2,Medium
Lance Camper Manufacturing. Corp.,2020,5309,2,3,High
Lance Camper Manufacturing. Corp.,2020,725,1,1,Low
"Proterra Operating Company, Inc.",2020,8,1,1,Low
"Ferrari North America, Inc.",2020,1063,1,1,Low
REV Recreation Group,2020,1567,2,3,High
"REV Ambulance Group Orlando, Inc.",2020,11,1,1,Low
"Piaggio Group Americas, Inc.",2020,483,1,1,Low
"Yamaha Motor Corporation, USA",2020,31000,2,3,High
Ford Motor Company,1974,281,0,2,Medium
BROCKWAY MOTOR TRUCKS,1974,80,0,2,Medium
Volvo Trucks North America,2020,8456,2,3,High
Aston Martin The Americas,2020,21,1,1,Low
"Forest River, Inc.",2020,67,1,1,Low
Keystone RV Company,2020,10,1,1,Low
"Mercedes-Benz USA, LLC",2020,7,1,1,Low
"Mercedes-Benz USA, LLC",2020,7,1,1,Low
"Corp. Micro Bird, Inc.",2020,75,1,1,Low
"Jayco, Inc.",2020,3,1,1,Low
Arcimoto Inc,2019,13,1,1,Low
"General Motors, LLC",2020,14620,2,3,High
"BMW of North America, LLC",2020,312,1,1,Low
Ford Motor Company,2020,52,1,1,Low
"Jayco, Inc.",2020,379,1,1,Low
"BMW of North America, LLC",2020,4509,2,3,High
"Tesla, Inc.",2020,2567,2,3,High
"Suzuki Motor USA, LLC",2020,2100,2,3,High
Newmar Corporation,2020,48,1,1,Low
"Daimler Vans USA, LLC",2020,4010,2,3,High
"Stoughton Trailers, LLC",2020,2484,2,3,High
Volvo Bus Corporation,2020,10,1,1,Low
Shyft Group,2020,5,1,1,Low
PACCAR Incorporated,2020,1416,2,3,High
"Forest River, Inc.",2020,551,1,1,Low
"Forest River, Inc.",2020,79,1,1,Low
"Chrysler (FCA US, LLC)",2020,2114,2,3,High
"General Motors, LLC",2020,5,1,1,Low
"International Motors, LLC",2020,14,1,1,Low
"Jaguar Land Rover North America, LLC",2020,11159,2,3,High
"Jaguar Land Rover North America, LLC",2020,1087,1,1,Low
"Altec Industries, Inc.",2020,280,1,1,Low
"General Motors, LLC",2020,3677,2,3,High
Bontrager Outdoors,2020,702,1,1,Low
Ford Motor Company,2020,38005,2,3,High
Ford Motor Company,2020,123,1,1,Low
Ford Motor Company,2020,620246,2,3,High
Ford Motor Company,2020,9628,2,3,High
"Airstream, Inc.",2020,5,1,1,Low
Motor Coach Industries,2020,56,1,1,Low
"Volkswagen Group of America, Inc.",2020,6,1,1,Low
"Nissan North America, Inc.",2020,150,1,1,Low
Nova Bus (US) Inc.,2020,223,1,1,Low
Hyundai Motor America,2020,319,1,1,Low
"Forest River, Inc.",2020,4397,2,3,High
Fruehauf de Mexico SA de CV,2020,70,1,1,Low
Bontrager Outdoors,2020,620,1,1,Low
Newmar Corporation,2020,350,1,1,Low
"Forest River, Inc.",2020,1000,1,1,Low
"Kia America, Inc.",2020,635,1,1,Low
"Volkswagen Group of America, Inc.",2020,23,1,1,Low
Thor Motor Coach,2020,1631,2,3,High
"Mercedes-Benz USA, LLC",2020,36,1,1,Low
"Jaguar Land Rover North America, LLC",2020,12,1,1,Low
"Forest River, Inc.",2020,273,1,1,Low
Isuzu Motors Limited,2020,4352,2,3,High
"Nissan North America, Inc.",2020,82,1,1,Low
"Mercedes-Benz USA, LLC",2020,38,1,1,Low
"Chrysler (FCA US, LLC)",2020,319610,2,3,High
Ford Motor Company,2020,29,1,1,Low
Ford Motor Company,2020,97,1,1,Low
Wabash National Corporation,2020,218,1,1,Low
"Genie Industries, Inc.",2020,14,1,1,Low
E-One Incorporated,2020,15,1,1,Low
"Jayco, Inc.",2020,166,1,1,Low
Ford Motor Company,1999,326,1,1,Low
"Jayco, Inc.",2020,3113,2,3,High
"Forest River, Inc.",2020,8,1,1,Low
"Autocar, LLC",2020,170,1,1,Low
"Forest River, Inc.",2020,22,1,1,Low
Keystone RV Company,2020,130,1,1,Low
"Pleasure Way Industries, Ltd.",2020,218,1,1,Low
Hyundai Motor America,2020,652024,2,3,High
"General Motors, LLC",2020,105,1,1,Low
"Jayco, Inc.",2006,62,1,1,Low
Keystone RV Company,2020,119,1,1,Low
"Daimler Trucks North America, LLC",2020,103,1,1,Low
Shyft Group,2020,5096,2,3,High
"Gulf Stream Coach, Inc.",2020,32,1,1,Low
"Gulf Stream Coach, Inc.",2020,90,1,1,Low
"Volkswagen Group of America, Inc.",2020,1829,2,3,High
"Tiffin Motorhomes, Inc.",2020,8,1,1,Low
Volvo Trucks North America,2020,12,1,1,Low
Volvo Trucks North America,2020,11127,2,3,High
"Daimler Trucks North America, LLC",2020,9665,2,3,High
"BMW of North America, LLC",2020,307,1,1,Low
"Daimler Trucks North America, LLC",2020,10359,2,3,High
Fontaine Modification,2020,1074,1,1,Low
Motor Coach Industries,2020,1561,2,3,High
"Heartland Recreational Vehicles, LLC",2020,1409,2,3,High
PJ Trailers,2020,694,1,1,Low
Redundant JAGUAR ROVER TRIUMPH INC.,1978,12565,0,2,Medium
"Grand Design RV, LLC",2020,8161,2,3,High
"Piaggio Group Americas, Inc.",2020,123,1,1,Low
"Vac-Tron Equipment, LLC",2020,134,1,1,Low
Newmar Corporation,2020,732,1,1,Low
"Vac-Tron Equipment, LLC",2020,140,1,1,Low
"Chrysler (FCA US, LLC)",2020,32318,2,3,High
"Chrysler (FCA US, LLC)",2020,26361,2,3,High
